Geht's dir gut?	Are you doing well? (singular)
Are you doing well? (singular)	Geht's dir gut?
Ich kann Gefühle und Emotionen benennen	I can name feelings and emotions
I can name feelings and emotions	Ich kann Gefühle und Emotionen benennen
Ich kann Gefühle und Emotionen in einfachen Worten ausdrücken und beschreiben	I can express and describe feelings and emotions in simple words
I can express and describe feelings and emotions in simple words	Ich kann Gefühle und Emotionen in einfachen Worten ausdrücken und beschreiben
Was macht dich glücklich?	What makes you happy? (singular)
What makes you happy? (singular)	Was macht dich glücklich?
Ich bin so wütend! Ich könnte explodieren!	I am so angry! I could explode!
I am so angry! I could explode!	Ich bin so wütend! Ich könnte explodieren!
Was ist denn passiert?	What happened then?
What happened then?	Was ist denn passiert?
Alles nervt. Ich habe so viel Arbeit. Und dann hatten mein Mann und ich heute morgen auch noch einen Streit	Everything sucks. I have so much work. And then my husband and I had an argument this morning
Everything sucks. I have so much work. And then my husband and I had an argument this morning	Alles nervt. Ich habe so viel Arbeit. Und dann hatten mein Mann und ich heute morgen auch noch einen Streit
Komm! Wir trinken einen Kaffee. Dann lachst du auch wieder	Come! We drink a coffee. Then you will laugh again (singular)
Come! We drink a coffee. Then you will laugh again (singular)	Komm! Wir trinken einen Kaffee. Dann lachst du auch wieder
Er hat gleich ein Bewerbungsgespräch	He has an interview soon
He has an interview soon	Er hat gleich ein Bewerbungsgespräch
Sie hat ihre Prüfung bestanden	She passed her exam
She passed her exam	Sie hat ihre Prüfung bestanden
Er hat seine erste Torte gebacken	He baked his first cake
He baked his first cake	Er hat seine erste Torte gebacken
Er mag keine Gewitter	He doesn't like thunderstorms
He doesn't like thunderstorms	Er mag keine Gewitter
Jing ist zufrieden mit ihrem Projekt	Jing is happy with her project
Jing is happy with her project	Jing ist zufrieden mit ihrem Projekt
zufrieden mit + dativ	satisfied with
satisfied with	zufrieden mit + dativ
wütend auf	angry with
angry with	wütend auf
enttäuscht von + dativ	disappointed by
disappointed by	enttäuscht von + dativ
stolz auf	proud of
proud of	stolz auf
froh über	glad about
glad about	froh über
haben Angst vor + dativ	are afraid of
are afraid of	haben Angst vor + dativ
Marco ist sehr enttäuscht, weil sein Date nicht gekommen ist	Marco is very disappointed because his date didn't come
Marco is very disappointed because his date didn't come	Marco ist sehr enttäuscht, weil sein Date nicht gekommen ist
Er ist froh, weil er heute keinen Unterricht hat	He is happy because he has no class today
He is happy because he has no class today	Er ist froh, weil er heute keinen Unterricht hat
Tim ist wütend auf seine Kolleginnen. Er musste alles alleine machen	Tim is angry with his colleagues. He had to do everything alone
Tim is angry with his colleagues. He had to do everything alone	Tim ist wütend auf seine Kolleginnen. Er musste alles alleine machen
Simone ist zufrieden mit ihrem Leben. Alles ist okay	Simone is satisfied with her life. Everything is okay
Simone is satisfied with her life. Everything is okay	Simone ist zufrieden mit ihrem Leben. Alles ist okay
Er ist stolz auf seine Arbeit. Er hat viel Zeit darin investiert	He's proud of his work. He put a lot of time into it
He's proud of his work. He put a lot of time into it	Er ist stolz auf seine Arbeit. Er hat viel Zeit darin investiert
Emma ist enttäuscht von Paul. Er hat ihren Geburtstag vergessen	Emma is disappointed in Paul. He forgot her birthday
Emma is disappointed in Paul. He forgot her birthday	Emma ist enttäuscht von Paul. Er hat ihren Geburtstag vergessen
Bist du froh über dein Ergebnis?	Are you happy with your result? (singular)
Are you happy with your result? (singular)	Bist du froh über dein Ergebnis?
Was könnte der Grund für dieses Gefühl sein?	What could be the reason for this feeling?
What could be the reason for this feeling?	Was könnte der Grund für dieses Gefühl sein?
Erzähle zu jedem Bild eine kurze Geschichte	Tell a short story about each picture
Tell a short story about each picture	Erzähle zu jedem Bild eine kurze Geschichte
Benutze dabei die Wörter von den vorherigen Seiten	Use the words from the previous pages
Use the words from the previous pages	Benutze dabei die Wörter von den vorherigen Seiten
Erinnere dich und schreibe ganze Sätze	Remember and write complete sentences
Remember and write complete sentences	Erinnere dich und schreibe ganze Sätze
Wann warst du das letzte Mal zufrieden und warum?	When were you the last time happy and why? (singular)
When were you the last time happy and why? (singular)	Wann warst du das letzte Mal zufrieden und warum?
Sie sieht sehr unglücklich aus	She looks very unhappy
She looks very unhappy	Sie sieht sehr unglücklich aus
Er lächelt so schön	He smiles so beautifully
He smiles so beautifully	Er lächelt so schön
Lachen ist gesund!	Laughing is healthy!
Laughing is healthy!	Lachen ist gesund!
So sagst du umgangsprachlich	That's what you say colloquially (singular)
That's what you say colloquially (singular)	So sagst du umgangsprachlich
Das ist mir egal / wurst / wumpe	It does not matter to me / I don't care
It does not matter to me / I don't care	Das ist mir egal / wurst / wumpe
Wähle eine Rolle. Unterhalte dich mit einem Partner	Choose a role. Converse with a partner
Choose a role. Converse with a partner	Wähle eine Rolle. Unterhalte dich mit einem Partner
Angst vor Achterbahnen, heute traurig: zu viel Arbeit	Fear of roller coasters, sad today: too much work
Fear of roller coasters, sad today: too much work	Angst vor Achterbahnen, heute traurig: zu viel Arbeit
Angst vor Höhen, heute glücklich: keine Arbeit	Afraid of heights, happy today: no work
Afraid of heights, happy today: no work	Angst vor Höhen, heute glücklich: keine Arbeit
Kreuze die richtigen Antworten auf der nächsten Seite an	Tick the correct answers on the next page
Tick the correct answers on the next page	Kreuze die richtigen Antworten auf der nächsten Seite an
Lin hat kein gutes Gefühl	Lin doesn't feel good
Lin doesn't feel good	Lin hat kein gutes Gefühl
Sie hat heute ein Vorstellungsgespräch und ist sehr nervös	She has an interview today and is very nervous
She has an interview today and is very nervous	Sie hat heute ein Vorstellungsgespräch und ist sehr nervös
Es ist nicht gut gelaufen	It didn't go well
It didn't go well	Es ist nicht gut gelaufen
Sie hat Angst, dass sie den Job nicht bekommt	She's afraid she won't get the job
She's afraid she won't get the job	Sie hat Angst, dass sie den Job nicht bekommt
Nach drei Tagen ein Anruf: Lin hat den Job	A call three days later: Lin has the job
A call three days later: Lin has the job	Nach drei Tagen ein Anruf: Lin hat den Job
Jetzt ist sie glücklich und lächelt wieder	Now she is happy and smiling again
Now she is happy and smiling again	Jetzt ist sie glücklich und lächelt wieder
Ich wusste, dass du es schaffst	I knew you could do it (singular)
I knew you could do it (singular)	Ich wusste, dass du es schaffst
Auf der Postkarte wurden Gefühle durcheinandergebracht. Kannst du sie korrigieren?	On the postcard, feelings were mixed up. Can you correct them? (singular)
On the postcard, feelings were mixed up. Can you correct them? (singular)	Auf der Postkarte wurden Gefühle durcheinandergebracht. Kannst du sie korrigieren?
Mein Chef hat mich angeschrien	My boss yelled at me
My boss yelled at me	Mein Chef hat mich angeschrien
Normalerweise ist es hier schön	It's usually nice here
It's usually nice here	Normalerweise ist es hier schön
Ich glaube, mein Chef hatte einfach einen schlechten Tag	I think my boss was just having a bad day
I think my boss was just having a bad day	Ich glaube, mein Chef hatte einfach einen schlechten Tag
Hans ist wütend auf seinen Nachbarn. Der Nachbar hört laute Musik	Hans is angry with his neighbor. The neighbor listens to loud music
Hans is angry with his neighbor. The neighbor listens to loud music	Hans ist wütend auf seinen Nachbarn. Der Nachbar hört laute Musik
Du siehst zufrieden aus	You look content (singular)
You look content (singular)	Du siehst zufrieden aus
Diese Person ist traurig und weint	This person is sad and crying
This person is sad and crying	Diese Person ist traurig und weint
erschrocken	frightened
frightened	erschrocken
Sie ist nervös, weil sie heute heiratet	She's nervous because she's getting married today
She's nervous because she's getting married today	Sie ist nervös, weil sie heute heiratet
Er hat Angst vor Spinnen	He's afraid of spiders
He's afraid of spiders	Er hat Angst vor Spinnen
Das Gegenteil von „unzufrieden" ist „zufrieden"	The opposite of "unsatisfied" is "satisfied"
The opposite of "unsatisfied" is "satisfied"	Das Gegenteil von „unzufrieden" ist „zufrieden"
Wenn ich eine gute Note im Test habe, bin ich stolz	If I get a good grade in the test, I'm proud
If I get a good grade in the test, I'm proud	Wenn ich eine gute Note im Test habe, bin ich stolz
Das Bild drückt ein Gefühl aus	The picture expresses a feeling
The picture expresses a feeling	Das Bild drückt ein Gefühl aus
Wie fühlst du dich, nachdem du eine 1 bekommen hast?	How do you feel after getting an A? (singular)
How do you feel after getting an A? (singular)	Wie fühlst du dich, nachdem du eine 1 bekommen hast?
Was machst du, wenn du glücklich bist?	What do you do when you're happy? (singular)
What do you do when you're happy? (singular)	Was machst du, wenn du glücklich bist?
