Der Ruhestand tut ihnen gut	Retirement is good for them
Retirement is good for them	Der Ruhestand tut ihnen gut
Meine Eltern sind beide im Ruhestand	My parents are both retired
My parents are both retired	Meine Eltern sind beide im Ruhestand
Sie bekommen eine gute Rente	You get a good pension
You get a good pension	Sie bekommen eine gute Rente
Ich arbeite in der Buchhaltung	I work in the accounting department
I work in the accounting department	Ich arbeite in der Buchhaltung
Ich arbeite im Marketing (das Marketing)	I work in marketing (marketing)
I work in marketing (marketing)	Ich arbeite im Marketing (das Marketing)
Er hat viele Stärken, die er zeigen möchte	He has many strengths that he wants to show
He has many strengths that he wants to show	Er hat viele Stärken, die er zeigen möchte
Leider hat sie eine Absage erhalten	Unfortunately she was rejected
Unfortunately she was rejected	Leider hat sie eine Absage erhalten
Sie hat heute gekündigt und ist jetzt arbeitslos	She resigned today and is now unemployed
She resigned today and is now unemployed	Sie hat heute gekündigt und ist jetzt arbeitslos
Warum sollten wir Sie einstellen?	Why should we hire you?
Why should we hire you?	Warum sollten wir Sie einstellen?
Sie verdient viel / genug Geld und kann sparen	She earns a lot / enough money and can save
She earns a lot / enough money and can save	Sie verdient viel / genug Geld und kann sparen
Heute ist Sonntag und Petra ist heute eher faul	Today is Sunday and Petra is rather lazy today
Today is Sunday and Petra is rather lazy today	Heute ist Sonntag und Petra ist heute eher faul
Sie ist Studentin und arbeitet fleißig	She is a student and works diligently
She is a student and works diligently	Sie ist Studentin und arbeitet fleißig
Ich bin fleißig und motiviert	I am hardworking and motivated
I am hardworking and motivated	Ich bin fleißig und motiviert
Über Stärken sprechen	Talk about strengths
Talk about strengths	Über Stärken sprechen
eine Absage bekommen	to get a rejection
to get a rejection	eine Absage bekommen
Der Bürojob	The office job
The office job	Der Bürojob
Ich kann über Arbeitserfahrung reden	I can talk about work experience
I can talk about work experience	Ich kann über Arbeitserfahrung reden
Samstags faulenze ich den ganzen Tag	On Saturdays I laze all day
On Saturdays I laze all day	Samstags faulenze ich den ganzen Tag
Kennst du einen Faulpelz?	Do you know a slacker?
Do you know a slacker?	Kennst du einen Faulpelz?
Ulrike arbeitet fleißig bis spät abends	Ulrike works hard until late in the evening
Ulrike works hard until late in the evening	Ulrike arbeitet fleißig bis spät abends
Felix fragt die Bewerberin nach ihren Schwächen	Felix asks the applicant about her weaknesses
Felix asks the applicant about her weaknesses	Felix fragt die Bewerberin nach ihren Schwächen
Stelle Vermutungen an und beantworte die Fragen. Schlage Verbesserungen vor!	Make guesses and answer the questions. Suggest improvements!
Make guesses and answer the questions. Suggest improvements!	Stelle Vermutungen an und beantworte die Fragen. Schlage Verbesserungen vor!
Wie kann er fleißig werden?	How can he be diligent?
How can he be diligent?	Wie kann er fleißig werden?
Was soll sie als Nächstes tun?	What should she do next?
What should she do next?	Was soll sie als Nächstes tun?
Welche Ratschläge gibst du ihr noch?	What other advice do you give her?
What other advice do you give her?	Welche Ratschläge gibst du ihr noch?
Tauscht anschließend die Rollen!	Then switch roles!
Then switch roles!	Tauscht anschließend die Rollen!
Ich habe heute keine Lust	I don't feel like it today
I don't feel like it today	Ich habe heute keine Lust
Wie kann ich ihn motivieren?	How can I motivate him?
How can I motivate him?	Wie kann ich ihn motivieren?
Die Besprechung dauerte 3 Stunden	The meeting lasted 3 hours
The meeting lasted 3 hours	Die Besprechung dauerte 3 Stunden
Ihre Stärke ist gute Teamarbeit	Her strength is good teamwork
Her strength is good teamwork	Ihre Stärke ist gute Teamarbeit
Pünktlichkeit ist nicht ihre Stärke	Punctuality is not her forte
Punctuality is not her forte	Pünktlichkeit ist nicht ihre Stärke
Sie sollten mich einstellen weil ich motiviert bin. Außerdem bin ich sehr fleißig	You should hire me because I'm motivated. Also, I'm very hardworking
You should hire me because I'm motivated. Also, I'm very hardworking	Sie sollten mich einstellen weil ich motiviert bin. Außerdem bin ich sehr fleißig
Ich würde Sie gerne einstellen. Wahnsinn! Ich kündige meinen alten Job sofort	I would like to hire you. Craziness! I'm canceling my old job immediately
I would like to hire you. Craziness! I'm canceling my old job immediately	Ich würde Sie gerne einstellen. Wahnsinn! Ich kündige meinen alten Job sofort
Wie läuft das Vorstellungsgespräch? Es läuft gut/schlecht, weil	How is the interview going? It's going well/badly because
How is the interview going? It's going well/badly because	Wie läuft das Vorstellungsgespräch? Es läuft gut/schlecht, weil
Georg gefällt sein Job nicht	Georg doesn't like his job
Georg doesn't like his job	Georg gefällt sein Job nicht
Er verdient gut, aber er hat keinen Spaß	He makes good money, but he doesn't have fun
He makes good money, but he doesn't have fun	Er verdient gut, aber er hat keinen Spaß
Geld macht nicht glücklich	Money can not buy happiness
Money can not buy happiness	Geld macht nicht glücklich
Er muss noch zehn Jahre arbeiten, bis er in den Ruhestand geht	He still has ten years to work before he retires
He still has ten years to work before he retires	Er muss noch zehn Jahre arbeiten, bis er in den Ruhestand geht
Er überlegt: Soll ich kündigen? Aber was wird dann aus seiner Rente?	He thinks: Should I quit? But what willhappen to his pension then?
He thinks: Should I quit? But what willhappen to his pension then?	Er überlegt: Soll ich kündigen? Aber was wird dann aus seiner Rente?
Georg hat Angst um seine Rente, wenn er kündigt	Georg is afraid for his pension if he resigns
Georg is afraid for his pension if he resigns	Georg hat Angst um seine Rente, wenn er kündigt
Die Firma dankt	The company thanks you
The company thanks you	Die Firma dankt
eine Absage -- die Stelle nicht bekommen	a rejection -- not getting the job
a rejection -- not getting the job	eine Absage -- die Stelle nicht bekommen
die Rente -- Geld im Ruhestand	the pension -- money in retirement
the pension -- money in retirement	die Rente -- Geld im Ruhestand
Was würdest du Georg empfehlen?	What would you recommend George?
What would you recommend George?	Was würdest du Georg empfehlen?
Schreibe vorher eine Pro-Contra-Liste	Make a pro-con list beforehand
Make a pro-con list beforehand	Schreibe vorher eine Pro-Contra-Liste
Was spricht für den Job, was dagegen?	What speaks for the job, what against it?
What speaks for the job, what against it?	Was spricht für den Job, was dagegen?
Julia ist oft sehr nervös. Das ist eine Schwäche von ihr	Julia is often very nervous. That's a weakness of hers
Julia is often very nervous. That's a weakness of hers	Julia ist oft sehr nervös. Das ist eine Schwäche von ihr
Franz wird im April 67. Dann kann er endlich in den Ruhestand gehen	Franz will be 67 in April. Then he can finally retire
Franz will be 67 in April. Then he can finally retire	Franz wird im April 67. Dann kann er endlich in den Ruhestand gehen
Jordan arbeitet gerne im Finanzbereich	Jordan enjoys working in finance
Jordan enjoys working in finance	Jordan arbeitet gerne im Finanzbereich
Ich spreche fünf Sprachen	I speak five languages
I speak five languages	Ich spreche fünf Sprachen
Ich kenne mich gut mit dem Computer aus	I am good with computers
I am good with computers	Ich kenne mich gut mit dem Computer aus
Sie hat schon einige Bewerbungen verschickt und hatte einige Vorstellungsgespräche, aber bis jetzt hat sie nur Absagen erhalten	She has already sent out a few applications and had a few interviews, but so far she has only received rejections
She has already sent out a few applications and had a few interviews, but so far she has only received rejections	Sie hat schon einige Bewerbungen verschickt und hatte einige Vorstellungsgespräche, aber bis jetzt hat sie nur Absagen erhalten
Ihre Stärken sind ihre Computerkenntnisse und ihre Sprachkenntnisse: Sie spricht vier Sprachen	Her strengths are her computer skills and her language skills: She speaks four languages
Her strengths are her computer skills and her language skills: She speaks four languages	Ihre Stärken sind ihre Computerkenntnisse und ihre Sprachkenntnisse: Sie spricht vier Sprachen
Ich glaube, sie hat keine Schwächen, aber sie arbeitet lieber alleine als im Team	I don't think she has any weaknesses, but she prefers to work alone than in a team
I don't think she has any weaknesses, but she prefers to work alone than in a team	Ich glaube, sie hat keine Schwächen, aber sie arbeitet lieber alleine als im Team
Sie möchte gut verdienen, aber ein schöner, ruhiger Arbeitsplatz und Spaß an der Arbeit sind noch wichtiger für sie	She would like to earn good money, but a nice, quiet workplace and having fun at work are even more important to her
She would like to earn good money, but a nice, quiet workplace and having fun at work are even more important to her	Sie möchte gut verdienen, aber ein schöner, ruhiger Arbeitsplatz und Spaß an der Arbeit sind noch wichtiger für sie
Sie ist immer sehr nervös / aufgeregt bei Vorstellungsgesprächen	She is always very nervous at job interviews
She is always very nervous at job interviews	Sie ist immer sehr nervös / aufgeregt bei Vorstellungsgesprächen
Annika arbeitet bei der Firma ihrer Eltern	Annika works at her parents' company
Annika works at her parents' company	Annika arbeitet bei der Firma ihrer Eltern
Sie möchte zuerst ein paar Monate Urlaub haben	She would like to have a few months vacation first
She would like to have a few months vacation first	Sie möchte zuerst ein paar Monate Urlaub haben
Sie spricht Deutsch als Muttersprache und vier Fremdsprachen	She speaks German as her mother tongue and four foreign languages
She speaks German as her mother tongue and four foreign languages	Sie spricht Deutsch als Muttersprache und vier Fremdsprachen
In welcher Abteilung arbeiten Sie?	In which department do you work? (polite)
In which department do you work? (polite)	In welcher Abteilung arbeiten Sie?
Sie ist ein bisschen frustriert	She's a little frustrated
She's a little frustrated	Sie ist ein bisschen frustriert
Ich hoffe, dass sie diesmal eine Zusage bekommt	I hope that this time she gets accepted
I hope that this time she gets accepted	Ich hoffe, dass sie diesmal eine Zusage bekommt
Sie bekommt 1700 Euro Kündigung	She gets 1700 euros notice (termination)
She gets 1700 euros notice (termination)	Sie bekommt 1700 Euro Kündigung
Neben der Arbeit habe ich genug Zeit für meine Kinder und meinen Mann	Besides work, I have enough time for my children and my husband
Besides work, I have enough time for my children and my husband	Neben der Arbeit habe ich genug Zeit für meine Kinder und meinen Mann
Mein Vater hat vierzig Jahre lang bei einer Firma gearbeitet	My father worked for a company for forty years
My father worked for a company for forty years	Mein Vater hat vierzig Jahre lang bei einer Firma gearbeitet
Er arbeitet viel, oft sogar am Wochenende	He works a lot, often even on weekends
He works a lot, often even on weekends	Er arbeitet viel, oft sogar am Wochenende
Wenn man 65 Jahre oder älter ist, arbeitet man nicht mehr. Man geht in den Ruhestand / in Rente	When you're 65 or older, you stop working. You go into retirement
When you're 65 or older, you stop working. You go into retirement	Wenn man 65 Jahre oder älter ist, arbeitet man nicht mehr. Man geht in den Ruhestand / in Rente
Ich arbeite bei einer kleinen Firma, die Küchengeräte verkauft	I work at a small company that sells kitchen appliances
I work at a small company that sells kitchen appliances	Ich arbeite bei einer kleinen Firma, die Küchengeräte verkauft
Das Bewerbungsgespräch ist nicht gut gelaufen. Ich habe eine Absage bekommen und muss weitersuchen	The interview didn't go well. I got a rejection and need to keep looking
The interview didn't go well. I got a rejection and need to keep looking	Das Bewerbungsgespräch ist nicht gut gelaufen. Ich habe eine Absage bekommen und muss weitersuchen
Herzlichen Glückwunsch! Sie haben die Stelle. Sie sind ab dem 1. Oktober eingestellt	Congratulations! You have the position. They are hired from October 1st
Congratulations! You have the position. They are hired from October 1st	Herzlichen Glückwunsch! Sie haben die Stelle. Sie sind ab dem 1. Oktober eingestellt
Der Lohn	The salary
The salary	Der Lohn
