Die Aufführung beginnt um 20 Uhr	The performance starts at 8 p.m
The performance starts at 8 p.m	Die Aufführung beginnt um 20 Uhr
In der Stadt gibt es viele Kulturveranstaltungen	In the city there are many cultural events
In the city there are many cultural events	In der Stadt gibt es viele Kulturveranstaltungen
Wir haben Eintrittskarten für das Fußballspiel heute Abend	We have tickets for the football game tonight
We have tickets for the football game tonight	Wir haben Eintrittskarten für das Fußballspiel heute Abend
Ist der Platz noch frei?	Is this seat still free?
Is this seat still free?	Ist der Platz noch frei?
Dem Publikum hat das Stück gut gefallen	The audience really liked the piece
The audience really liked the piece	Dem Publikum hat das Stück gut gefallen
Die Veranstaltung war gut besucht. Es gab kaum freie Plätze	The event was well attended. There were hardly any free places
The event was well attended. There were hardly any free places	Die Veranstaltung war gut besucht. Es gab kaum freie Plätze
Das ist eine Kunst-Ausstellung	This is an art exhibition
This is an art exhibition	Das ist eine Kunst-Ausstellung
Das Museum hat viele Skulpturen und Gemälde	The museum has many sculptures and paintings
The museum has many sculptures and paintings	Das Museum hat viele Skulpturen und Gemälde
Sie freut sich über die Beförderung	She is happy about the promotion
She is happy about the promotion	Sie freut sich über die Beförderung
Die Brüder schauen sich an	The brothers look at each other
The brothers look at each other	Die Brüder schauen sich an
Welchen Film möchtest du als Nächstes sehen?	Which movie would you like to see next?
Which movie would you like to see next?	Welchen Film möchtest du als Nächstes sehen?
Welchen Film hast du als Letztes gesehen?	Which film have you seen last?
Which film have you seen last?	Welchen Film hast du als Letztes gesehen?
Ich kann über verschiedene Kunstarten reden	I can talk about different art forms
I can talk about different art forms	Ich kann über verschiedene Kunstarten reden
Was ich gern in meiner Freizeit mache? Ich liebe Kultur! Ich gehe daher gern ins Theater und ins Museum	What do I like to do in my free time? I love culture! That's why I like going to the theater and the museum
What do I like to do in my free time? I love culture! That's why I like going to the theater and the museum	Was ich gern in meiner Freizeit mache? Ich liebe Kultur! Ich gehe daher gern ins Theater und ins Museum
Er hört und macht gern Musik	He enjoys listening and making music
He enjoys listening and making music	Er hört und macht gern Musik
Wir sollten mal wieder ins Kino gehen	We should just go to the cinema again
We should just go to the cinema again	Wir sollten mal wieder ins Kino gehen
Die Schauspieler auf der Bühne waren so talentiert	The actors on the stage were so talented
The actors on the stage were so talented	Die Schauspieler auf der Bühne waren so talentiert
Das Publikum war ganz begeistert und hat um eine Zugabe gebeten	The audience was very enthusiastic and asked for an encore
The audience was very enthusiastic and asked for an encore	Das Publikum war ganz begeistert und hat um eine Zugabe gebeten
Klärt im Dialog, wer die Eintrittskarten besorgt	Clarify in dialogue who will get the tickets
Clarify in dialogue who will get the tickets	Klärt im Dialog, wer die Eintrittskarten besorgt
Du möchtest gern am Freitagabend ins Theater und dir ein bekanntes Stück angucken	You would like on Friday evening (to go) to the theater and see a well-known play
You would like on Friday evening (to go) to the theater and see a well-known play	Du möchtest gern am Freitagabend ins Theater und dir ein bekanntes Stück angucken
Du möchtest am Samstagabend ins Theater, damit du dich am Freitagabend ausruhen kannst	You want on Saturday night (to go) to the theater, so that you can relax on Friday night
You want on Saturday night (to go) to the theater, so that you can relax on Friday night	Du möchtest am Samstagabend ins Theater, damit du dich am Freitagabend ausruhen kannst
Ein Kulturbanause weiß zu wenig über Kultur	A cultural philistine knows too little about culture
A cultural philistine knows too little about culture	Ein Kulturbanause weiß zu wenig über Kultur
das Museum, die Museen	the museum, the museums
the museum, the museums	das Museum, die Museen
Warst du schon einmal in einem Film, bei dem es eine Pause gab?	Have you ever been in a movie where there was a pause?
Have you ever been in a movie where there was a pause?	Warst du schon einmal in einem Film, bei dem es eine Pause gab?
Wann hast du das letzte Mal vor einem Publikum gesprochen? Was war das Thema?	When was the last time you spoke in front of an audience? What was the topic?
When was the last time you spoke in front of an audience? What was the topic?	Wann hast du das letzte Mal vor einem Publikum gesprochen? Was war das Thema?
Der Film war zu spannend und zu gruselig	The film was too exciting and too scary
The film was too exciting and too scary	Der Film war zu spannend und zu gruselig
Heute Abend geht es ins Kino. Nächstes Mal geht es ins Museum – für Mama und Papa	Tonight it's to the cinema. Next time it's to the museum - for mom and dad
Tonight it's to the cinema. Next time it's to the museum - for mom and dad	Heute Abend geht es ins Kino. Nächstes Mal geht es ins Museum – für Mama und Papa
Die Kinder freuen sich schon sehr aufs Kino. Sie dürfen sich einen Film aussuchen	The children are really looking forward to the cinema. They can choose a film
The children are really looking forward to the cinema. They can choose a film	Die Kinder freuen sich schon sehr aufs Kino. Sie dürfen sich einen Film aussuchen
Die ganze Familie geht zur Vorstellung, aber es gibt nicht genügend freie Plätze nebeneinander	The whole family goes to the performance, but there are not enough free seats next to each other
The whole family goes to the performance, but there are not enough free seats next to each other	Die ganze Familie geht zur Vorstellung, aber es gibt nicht genügend freie Plätze nebeneinander
Redewendung: im falschen Film sein. Bedeutung: mit einer unverständlichen oder unangenehmen Situation konfrontiert sein	Idiom: being in the wrong film. Meaning: to be confronted with an incomprehensible or unpleasant situation
Idiom: being in the wrong film. Meaning: to be confronted with an incomprehensible or unpleasant situation	Redewendung: im falschen Film sein. Bedeutung: mit einer unverständlichen oder unangenehmen Situation konfrontiert sein
Gestern war ich in einer Ausstellung mit komplett schwarzen Bildern. Alle Besucher haben gesagt, wie interessant das ist. Aber ich habe gedacht, "ich bin im falschen Film"	Yesterday I was in an exhibition with completely black paintings. All the visitors said how interesting it was. But I thought, "I'm in the wrong movie"
Yesterday I was in an exhibition with completely black paintings. All the visitors said how interesting it was. But I thought, "I'm in the wrong movie"	Gestern war ich in einer Ausstellung mit komplett schwarzen Bildern. Alle Besucher haben gesagt, wie interessant das ist. Aber ich habe gedacht, "ich bin im falschen Film"
"A" steht für Angeln. Finde eine Aktivität mit "B". Macht so weiter!	"A" is for fishing (in German). Find an activity with "B". Keep going like so!
"A" is for fishing (in German). Find an activity with "B". Keep going like so!	"A" steht für Angeln. Finde eine Aktivität mit "B". Macht so weiter!
